,origin_id,destination_id,flow
0,2,50,1.0
1,2,73,1.0
2,2,136,1.0
3,2,168,1.0
4,2,184,1.0
5,2,212,1.0
6,2,232,1.0
7,2,234,1.0
8,3,12,1.0
9,3,24,1.0
10,3,32,1.0
11,3,33,1.0
12,3,35,1.0
13,3,39,1.0
14,3,40,1.0
15,3,41,1.0
16,3,44,1.0
17,3,47,1.0
18,3,49,1.0
19,3,50,1.0
20,3,51,1.0
21,3,64,1.0
22,3,67,1.0
23,3,73,1.0
24,3,74,1.0
25,3,77,1.0
26,3,78,1.1
27,3,79,1.0
28,3,86,1.0
29,3,87,1.1111111111111112
30,3,88,1.0
31,3,89,1.1
32,3,99,1.0
33,3,106,1.1111111111111112
34,3,112,1.0555555555555556
35,3,113,1.0
36,3,124,1.0
37,3,131,1.0
38,3,133,1.0
39,3,136,1.0
40,3,137,1.0
41,3,139,1.1428571428571428
42,3,140,1.0
43,3,141,1.0
44,3,142,1.0
45,3,143,1.0909090909090908
46,3,147,1.3571428571428572
47,3,150,1.0
48,3,157,1.0
49,3,160,1.0
50,3,161,1.2142857142857142
51,3,162,1.0
52,3,163,1.2
53,3,169,1.0
54,3,185,1.0
55,3,194,1.0
56,3,208,1.0
57,3,210,1.0
58,3,222,1.0
59,3,223,1.0
60,3,228,1.0
61,3,229,1.0
62,3,230,1.0
63,3,231,1.0
64,3,232,1.0
65,3,233,1.105263157894737
66,3,235,1.0
67,3,236,1.0
68,3,237,1.0
69,3,245,1.0
70,3,248,1.2
71,3,260,1.0
72,3,261,1.0
73,3,262,1.0
74,5,13,1.0
75,5,194,1.0
76,5,220,1.0
77,5,227,1.0
78,6,11,1.0
79,6,35,1.0
80,6,36,1.0
81,6,40,1.0
82,6,41,1.0
83,6,42,1.0
84,6,47,1.0
85,6,68,1.0
86,6,73,1.0
87,6,74,1.0
88,6,75,1.0
89,6,78,1.0
90,6,79,1.0
91,6,81,1.0
92,6,82,1.0
93,6,89,1.0
94,6,91,1.0
95,6,92,2.0
96,6,94,1.0
97,6,95,1.0
98,6,99,1.0
99,6,106,1.0
100,6,111,1.0
101,6,112,1.0
102,6,113,1.0
103,6,115,1.0
104,6,128,1.0
105,6,129,1.0
106,6,131,1.0
107,6,136,1.0
108,6,137,1.0
109,6,139,1.0
110,6,140,1.0
111,6,141,1.0
112,6,144,1.1363636363636365
113,6,145,1.0384615384615385
114,6,147,1.0
115,6,150,1.0
116,6,157,1.0
117,6,160,1.0
118,6,161,1.0
119,6,162,1.0
120,6,163,1.0
121,6,167,1.0
122,6,169,1.0
123,6,172,1.0
124,6,178,1.12
125,6,180,1.0
126,6,185,1.0
127,6,190,1.0
128,6,192,1.08
129,6,196,1.0
130,6,201,1.0
131,6,206,1.0
132,6,210,1.0
133,6,215,1.0
134,6,222,1.0555555555555556
135,6,225,1.1111111111111112
136,6,228,1.0
137,6,229,1.0
138,6,231,1.0
139,6,232,1.0
140,6,233,1.0
141,6,235,1.0
142,6,236,1.0
143,6,237,1.0
144,6,238,1.0
145,6,242,1.0
146,6,246,1.0
147,6,254,1.0
148,6,255,1.0
149,6,258,1.0
150,6,259,1.0
151,6,261,1.0
152,6,262,1.0
153,7,237,1.0
154,8,91,1.0
155,8,130,1.0
156,8,169,1.0
157,8,190,1.0
158,8,191,1.0
159,8,214,1.0
160,9,27,1.0
161,9,34,1.0
162,9,36,1.0
163,9,38,1.0
164,9,47,1.0
165,9,49,1.0
166,9,67,1.0
167,9,75,1.0
